run_id,iou,acc,final_loss,cam_method,cam_thresh,cam_thresh_bg,alpha,crf_compat,learning_rate,keep_largest,apply_crf,combo_id,iou_mean,iou_std,acc_mean,acc_std,loss_mean,loss_std
,,,,LayerCAM,0.5,0.5,1.9,10,0.0001,<function keep_largest at 0x7c7e96238ea0>,FALSE,7.0,0.4704531519393020,0.010981287828486500,0.8030676200749100,0.00556583118472896,2.227018584807710,0.008812565328241840
abl_008_r0,0.3743390868535390,0.7894829931538230,4.273033708333970,LayerCAM,0.5,0.5,1.9,10,1E-05,TRUE,FALSE,,,,,,,
abl_008_r1,0.30315161255554600,0.7750416815719510,5.274198591709140,LayerCAM,0.5,0.5,1.9,10,1E-05,TRUE,FALSE,,,,,,,
abl_008_r2,0.3469522397866990,0.7875922433057440,5.439593434333800,LayerCAM,0.5,0.5,1.9,10,1E-05,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.5,0.5,1.9,10,1E-05,<function keep_largest at 0x7c7e96238ea0>,FALSE,8.0,0.34148097973192800,0.03590773091093410,0.7840389726771730,0.00784902345333981,4.995608578125640,0.6312089157581210
abl_009_r0,0.1537803988221940,0.7273558806443680,4.8443310633301700,LayerCAM,0.6,0.5,1.9,10,0.001,TRUE,FALSE,,,,,,,
abl_009_r1,0.09330991053798010,0.724387957605367,6.275817334651950,LayerCAM,0.6,0.5,1.9,10,0.001,TRUE,FALSE,,,,,,,
abl_009_r2,0.2807341363412710,0.713587110411418,7.4814513027668,LayerCAM,0.6,0.5,1.9,10,0.001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.6,0.5,1.9,10,0.001,<function keep_largest at 0x7c7e96238ea0>,FALSE,9.0,0.1759414819004820,0.09565717592994700,0.7217769828870510,0.007246216265521200,6.2005332335829700,1.320171034834840
abl_010_r0,0.4549045205261120,0.8168045101574970,2.1698599345982100,LayerCAM,0.6,0.5,1.9,10,0.0001,TRUE,FALSE,,,,,,,
abl_010_r1,0.42240988271003200,0.8112638117261400,2.2749236412346400,LayerCAM,0.6,0.5,1.9,10,0.0001,TRUE,FALSE,,,,,,,
abl_010_r2,0.31469626494297500,0.7833505319927450,2.0154567323625100,LayerCAM,0.6,0.5,1.9,10,0.0001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.6,0.5,1.9,10,0.0001,<function keep_largest at 0x7c7e96238ea0>,FALSE,10.0,0.39733688939304000,0.0733899174193703,0.803806284625461,0.017930510215968600,2.1534134360651200,0.1305129674990710
abl_011_r0,0.28113178649628200,0.7725452468906630,5.198971062898640,LayerCAM,0.6,0.5,1.9,10,1E-05,TRUE,FALSE,,,,,,,
abl_011_r1,0.33936441504746000,0.7907966845773430,5.429939091205600,LayerCAM,0.6,0.5,1.9,10,1E-05,TRUE,FALSE,,,,,,,
abl_011_r2,0.31464502738256300,0.7854351048984590,6.104128077626230,LayerCAM,0.6,0.5,1.9,10,1E-05,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.6,0.5,1.9,10,1E-05,<function keep_largest at 0x7c7e96238ea0>,FALSE,11.0,0.31171374297543500,0.029226769889973600,0.7829256787888220,0.00938091994196156,5.57767941057682,0.4703166027300920
abl_012_r0,0.19311124870733400,0.6183693850087040,4.5089400336146400,LayerCAM,0.7,0.5,1.9,10,0.001,TRUE,FALSE,,,,,,,
abl_012_r1,0.1582533539182140,0.7316267452657670,4.331534683704380,LayerCAM,0.7,0.5,1.9,10,0.001,TRUE,FALSE,,,,,,,
abl_012_r2,0.056233387103328300,0.7154305913774960,3.6053284034133000,LayerCAM,0.7,0.5,1.9,10,0.001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.7,0.5,1.9,10,0.001,<function keep_largest at 0x7c7e96238ea0>,FALSE,12.0,0.13586599657629200,0.071132148680379,0.6884755738839890,0.06125142560917230,4.1486010402441000,0.47877660029602400
abl_013_r0,0.1705331199469450,0.7500675681019540,2.4393461272120500,LayerCAM,0.7,0.5,1.9,10,0.0001,TRUE,FALSE,,,,,,,
abl_013_r1,0.2437066558550150,0.7715640998197090,2.1201119497418400,LayerCAM,0.7,0.5,1.9,10,0.0001,TRUE,FALSE,,,,,,,
abl_013_r2,0.27021900025989900,0.7689953495068320,1.8929966948926400,LayerCAM,0.7,0.5,1.9,10,0.0001,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.7,0.5,1.9,10,0.0001,<function keep_largest at 0x7c7e96238ea0>,FALSE,13.0,0.2281529253539530,0.05163097503259930,0.7635423391428320,0.011739962116443500,2.1508182572821800,0.27446599705793200
abl_014_r0,0.2485967131721670,0.7691953921542050,6.244360521435740,LayerCAM,0.7,0.5,1.9,10,1E-05,TRUE,FALSE,,,,,,,
abl_014_r1,0.2527008628936300,0.7752513550774950,6.353846415877340,LayerCAM,0.7,0.5,1.9,10,1E-05,TRUE,FALSE,,,,,,,
abl_014_r2,0.30310963801263700,0.7792700085451200,7.01165035367012,LayerCAM,0.7,0.5,1.9,10,1E-05,TRUE,FALSE,,,,,,,
,,,,LayerCAM,0.7,0.5,1.9,10,1E-05,<function keep_largest at 0x7c7e96238ea0>,FALSE,14.0,0.2681357380261440,0.030357721776064300,0.7745722519256070,0.005071524393533050,6.5366190969944,0.41501543511609900
