run_id,iou,acc,final_loss,cam_method,cam_thresh,cam_thresh_bg,alpha,crf_compat,learning_rate,keep_largest,apply_crf,combo_id,iou_mean,iou_std,acc_mean,acc_std,loss_mean,loss_std
,,,,LayerCAM,0.5,0.5,1.9,10,0.0001,<function keep_largest at 0x79ac08f6e840>,FALSE,7.0,0.4687732369902330,0.011941821769814700,0.8064755152623180,0.0055131398084811400,2.3529928339024400,0.07319763721609740
abl_008_r0,0.35795530229373600,0.7881511427010490,4.659371078014370,LayerCAM,0.5,0.5,1.9,10,1E-05,FALSE,FALSE,,,,,,,
abl_008_r1,0.3649001204629230,0.7861399283624930,5.103892967104910,LayerCAM,0.5,0.5,1.9,10,1E-05,FALSE,FALSE,,,,,,,
abl_008_r2,0.36531169958187000,0.7939543132512610,5.294568970799450,LayerCAM,0.5,0.5,1.9,10,1E-05,FALSE,FALSE,,,,,,,
,,,,LayerCAM,0.5,0.5,1.9,10,1E-05,<function keep_largest at 0x79ac08f6e840>,FALSE,8.0,0.3627223741128430,0.004133531134415600,0.7894151281049340,0.004057634424560260,5.019277671972910,0.32594309607254400
abl_009_r0,0.1616855266376200,0.7360004857037880,6.0576450526714300,LayerCAM,0.6,0.5,1.9,10,0.001,FALSE,FALSE,,,,,,,
abl_009_r1,0.03175667359202880,0.7052247932467150,6.602873995900150,LayerCAM,0.6,0.5,1.9,10,0.001,FALSE,FALSE,,,,,,,
abl_009_r2,0.345506783684765,0.77724247661043,4.880209788680080,LayerCAM,0.6,0.5,1.9,10,0.001,FALSE,FALSE,,,,,,,
,,,,LayerCAM,0.6,0.5,1.9,10,0.001,<function keep_largest at 0x79ac08f6e840>,FALSE,9.0,0.17964966130480500,0.1576445860045840,0.7394892518536440,0.036135374582331000,5.846909612417220,0.8804544633560820
abl_010_r0,0.36838344885244200,0.8012650471702370,2.0894916765391800,LayerCAM,0.6,0.5,1.9,10,0.0001,FALSE,FALSE,,,,,,,
abl_010_r1,0.3849927332082980,0.7937702731465640,1.9879114776849700,LayerCAM,0.6,0.5,1.9,10,0.0001,FALSE,FALSE,,,,,,,
abl_010_r2,0.459811240013199,0.8156613875875360,2.2359784692525900,LayerCAM,0.6,0.5,1.9,10,0.0001,FALSE,FALSE,,,,,,,
,,,,LayerCAM,0.6,0.5,1.9,10,0.0001,<function keep_largest at 0x79ac08f6e840>,FALSE,10.0,0.40439580735798000,0.048704411647994400,0.8035655693014460,0.011125399966925800,2.1044605411589100,0.12470909452543700
